Date/Time,100m_N Avg [m/s],100m_S Avg [m/s],80m Avg [m/s],50m Avg [m/s],20m Avg [m/s],10m Avg [m/s],Pressure 5m [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m
01-12-2018 00:00,10.654,10.809,5.182,7.096,4.852,,1012.2,52,45,29.5,22.5,46.5
01-12-2018 00:10,10.531,10.688,5.334,7.415,4.953,,1012.1,53.4,47.8,32.3,22.2,47.5
01-12-2018 00:20,9.976,10.11,5.319,7.398,4.796,,1012.2,53.4,46.4,29.5,22.1,48.3
01-12-2018 00:30,9.617,9.735,5.319,7.43,4.749,,1012.1,52,46.4,30.9,22.2,48.5
01-12-2018 00:40,9.001,9.112,5.363,7.344,4.833,,1012,53.4,47.8,32.3,22.2,49
01-12-2018 00:50,8.841,8.967,5.354,7.496,4.813,,1012,52,46.4,33.8,22.2,49.3
01-12-2018 01:00,8.228,8.345,5.216,7.172,4.702,,1011.9,49.2,43.6,28.1,22.2,49.3
01-12-2018 01:10,8.628,8.756,5.454,7.126,4.857,,1011.8,49.2,40.8,25.3,22.4,49.2
01-12-2018 01:20,8.679,8.808,5.554,6.48,3.817,,1011.8,47.8,39.4,22.5,22.4,49.4
01-12-2018 01:30,8.964,9.087,5.895,5.564,3.077,,1011.7,47.8,35.2,23.9,21.6,51.6
01-12-2018 01:40,9.35,9.472,6.047,6.058,3.529,,1011.6,49.2,39.4,25.3,21.5,51.8
01-12-2018 01:50,9.568,9.705,6.128,5.999,3.19,,1011.6,47.8,39.4,26.7,21.4,52
01-12-2018 02:00,9.671,9.798,6.282,5.542,2.622,,1011.5,47.8,40.8,25.3,20.7,53.7
01-12-2018 02:10,9.254,9.409,6.29,5.306,2.541,,1011.4,45,38,23.9,20.2,55.1
01-12-2018 02:20,9.377,9.524,6.245,5.446,2.58,,1011.3,46.4,39.4,23.9,19.8,56.4
01-12-2018 02:30,9.401,9.541,6.236,6.256,2.915,,1011.2,46.4,39.4,25.3,19.7,57
01-12-2018 02:40,9.802,9.955,6.248,6.185,3.003,,1011,45,36.6,22.5,19.7,56.8
01-12-2018 02:50,9.973,10.132,6.28,5.932,3.023,,1010.9,45,35.2,21.1,19.6,56.6
